601607,上海医药,2016年年度报告,2017-03-22,http://www.cninfo.com.cn/finalpage/2017-03-22/1203184693.PDF
601607,上海医药,2015年年度报告,2016-03-19,http://www.cninfo.com.cn/finalpage/2016-03-19/1202057578.PDF
601607,上海医药,2014年年度报告,2015-03-27,http://www.cninfo.com.cn/finalpage/2015-03-27/1200747955.PDF
601607,上海医药,2013年年度报告,2014-03-29,http://www.cninfo.com.cn/finalpage/2014-03-29/63752608.PDF
601607,上海医药,2012年年度报告,2013-03-27,http://www.cninfo.com.cn/finalpage/2013-03-27/62280178.PDF
601607,上海医药,2011年年度报告,2012-03-30,http://www.cninfo.com.cn/finalpage/2012-03-30/60762831.PDF
601607,上海医药,2010年年度报告,2011-03-09,http://www.cninfo.com.cn/finalpage/2011-03-09/59096615.PDF
601608,中信重工,2016年年度报告（更新后）,2017-06-21,http://www.cninfo.com.cn/finalpage/2017-06-21/1203634860.PDF
601608,中信重工,2016年年度报告,2017-03-23,http://www.cninfo.com.cn/finalpage/2017-03-23/1203188106.PDF
601608,中信重工,2015年年度报告,2016-03-23,http://www.cninfo.com.cn/finalpage/2016-03-23/1202068055.PDF
601608,中信重工,2014年年度报告,2015-03-24,http://www.cninfo.com.cn/finalpage/2015-03-24/1200733340.PDF
601608,中信重工,2013年年度报告,2014-04-10,http://www.cninfo.com.cn/finalpage/2014-04-10/63815583.PDF
601608,中信重工,2012年年度报告,2013-04-20,http://www.cninfo.com.cn/finalpage/2013-04-20/62395140.PDF
601611,中国核建,2016年年度报告,2017-04-27,http://www.cninfo.com.cn/finalpage/2017-04-27/1203408617.PDF
601616,广电电气,2016年年度报告,2017-04-28,http://www.cninfo.com.cn/finalpage/2017-04-28/1203417333.PDF
601616,广电电气,2015年年度报告,2016-04-28,http://www.cninfo.com.cn/finalpage/2016-04-28/1202261758.PDF
601616,广电电气,2014年年度报告,2015-04-30,http://www.cninfo.com.cn/finalpage/2015-04-30/1200945745.PDF
601616,广电电气,2013年年度报告,2014-04-10,http://www.cninfo.com.cn/finalpage/2014-04-10/63815185.PDF
601616,广电电气,2012年年度报告,2013-04-02,http://www.cninfo.com.cn/finalpage/2013-04-02/62313961.PDF
601616,广电电气,2011年年度报告,2012-04-05,http://www.cninfo.com.cn/finalpage/2012-04-05/60780265.PDF
601618,中国中冶,2016年年度报告,2017-03-29,http://www.cninfo.com.cn/finalpage/2017-03-29/1203217836.PDF
601618,中国中冶,2015年年度报告,2016-03-30,http://www.cninfo.com.cn/finalpage/2016-03-30/1202104436.PDF
601618,中国中冶,2014年年度报告,2015-03-28,http://www.cninfo.com.cn/finalpage/2015-03-28/1200757103.PDF
601618,中国中冶,2013年年度报告,2014-03-29,http://www.cninfo.com.cn/finalpage/2014-03-29/63753139.PDF
601618,中国中冶,2012年年度报告,2013-03-29,http://www.cninfo.com.cn/finalpage/2013-03-29/62296003.PDF
601618,中国中冶,2011年年度报告,2012-03-30,http://www.cninfo.com.cn/finalpage/2012-03-30/60761696.PDF
